replicate,test_sequence,estimator,r2_s,r2_s_plus_h,delta_r2,rmse_s,rmse_s_plus_h,naive_rmse,s_fold_pass,sh_fold_pass
35,1,random_forest,0.0813920244340318,0.0801931380117725,-0.0011988864222592,0.0015108246306445,0.0015118102069621,0.0016242795254091,True,True
35,1,extra_trees,0.1152125802777594,0.118331234262315,0.0031186539845555,0.0014827516639131,0.0014801361930915,0.0016242795254091,True,True
35,2,random_forest,0.1142642042100262,0.1110879734529586,-0.0031762307570676,0.0012026769426149,0.0012048314005515,0.0013365910123929,True,True
35,2,extra_trees,0.2240371551146155,0.2084724991762242,-0.0155646559383912,0.001125686220572,0.0011369199595654,0.0013365910123929,True,True
36,1,random_forest,0.0813920244340318,0.0791007350365612,-0.0022912893974705,0.0015108246306445,0.0015127076866271,0.0016242795254091,True,True
36,1,extra_trees,0.1152125802777594,0.1206465785993038,0.0054339983215443,0.0014827516639131,0.0014781914276837,0.0016242795254091,True,True
36,2,random_forest,0.1142642042100262,0.1034981813142991,-0.0107660228957271,0.0012026769426149,0.0012099640700806,0.0013365910123929,True,True
36,2,extra_trees,0.2240371551146155,0.2097176193269224,-0.014319535787693,0.001125686220572,0.0011360253860384,0.0013365910123929,True,True
37,1,random_forest,0.0813920244340318,0.0782300700902171,-0.0031619543438147,0.0015108246306445,0.001513422613031,0.0016242795254091,True,True
37,1,extra_trees,0.1152125802777594,0.1091531830253043,-0.0060593972524551,0.0014827516639131,0.0014878202549989,0.0016242795254091,True,True
37,2,random_forest,0.1142642042100262,0.11195784467793,-0.0023063595320962,0.0012026769426149,0.0012042417445112,0.0013365910123929,True,True
37,2,extra_trees,0.2240371551146155,0.2040965147554032,-0.0199406403592122,0.001125686220572,0.0011400583765241,0.0013365910123929,True,True
38,1,random_forest,0.0813920244340318,0.0787793728219726,-0.0026126516120591,0.0015108246306445,0.0015129716051184,0.0016242795254091,True,True
38,1,extra_trees,0.1152125802777594,0.1170128036311729,0.0018002233534134,0.0014827516639131,0.0014812424633674,0.0016242795254091,True,True
38,2,random_forest,0.1142642042100262,0.1150385690028711,0.0007743647928448,0.0012026769426149,0.0012021511005256,0.0013365910123929,True,True
38,2,extra_trees,0.2240371551146155,0.2244516085459054,0.0004144534312898,0.001125686220572,0.0011253855574452,0.0013365910123929,True,True
39,1,random_forest,0.0813920244340318,0.0779205843467981,-0.0034714400872336,0.0015108246306445,0.0015136766587526,0.0016242795254091,True,True
39,1,extra_trees,0.1152125802777594,0.1123909252511523,-0.0028216550266071,0.0014827516639131,0.001485114086386,0.0016242795254091,True,True
39,2,random_forest,0.1142642042100262,0.1155684468114366,0.0013042426014103,0.0012026769426149,0.0012017911477931,0.0013365910123929,True,True
39,2,extra_trees,0.2240371551146155,0.2078302459122809,-0.0162069092023345,0.001125686220572,0.001137381120102,0.0013365910123929,True,True
40,1,random_forest,0.0813920244340318,0.075634160638527,-0.0057578637955048,0.0015108246306445,0.0015155521823503,0.0016242795254091,True,True
40,1,extra_trees,0.1152125802777594,0.1103171404015737,-0.0048954398761857,0.0014827516639131,0.0014868479635986,0.0016242795254091,True,True
40,2,random_forest,0.1142642042100262,0.1176167409500069,0.0033525367399807,0.0012026769426149,0.0012003987004904,0.0013365910123929,True,True
40,2,extra_trees,0.2240371551146155,0.2103458078284656,-0.0136913472861498,0.001125686220572,0.0011355737879925,0.0013365910123929,True,True
41,1,random_forest,0.0813920244340318,0.077738153713497,-0.0036538707205348,0.0015108246306445,0.0015138263895294,0.0016242795254091,True,True
41,1,extra_trees,0.1152125802777594,0.1167171789777713,0.0015045987000118,0.0014827516639131,0.0014814904030578,0.0016242795254091,True,True
41,2,random_forest,0.1142642042100262,0.1121721171134785,-0.0020920870965477,0.0012026769426149,0.0012040964522089,0.0013365910123929,True,True
41,2,extra_trees,0.2240371551146155,0.2128258520746678,-0.0112113030399476,0.001125686220572,0.0011337891536593,0.0013365910123929,True,True
42,1,random_forest,0.0813920244340318,0.0749149826227728,-0.0064770418112589,0.0015108246306445,0.0015161416350569,0.0016242795254091,True,True
42,1,extra_trees,0.1152125802777594,0.1121958057582321,-0.0030167745195273,0.0014827516639131,0.001485277310711,0.0016242795254091,True,True
42,2,random_forest,0.1142642042100262,0.0968715862201096,-0.0173926179899166,0.0012026769426149,0.0012144276305155,0.0013365910123929,True,True
42,2,extra_trees,0.2240371551146155,0.206655280790952,-0.0173818743236634,0.001125686220572,0.0011382243029975,0.0013365910123929,True,True
43,1,random_forest,0.0813920244340318,0.0787562604775119,-0.0026357639565198,0.0015108246306445,0.0015129905843403,0.0016242795254091,True,True
43,1,extra_trees,0.1152125802777594,0.1193234502329857,0.0041108699552262,0.0014827516639131,0.0014793030978021,0.0016242795254091,True,True
43,2,random_forest,0.1142642042100262,0.1188709543019262,0.0046067500919,0.0012026769426149,0.0011995452779897,0.0013365910123929,True,True
43,2,extra_trees,0.2240371551146155,0.2083527645869493,-0.0156843905276662,0.001125686220572,0.0011370059474159,0.0013365910123929,True,True
44,1,random_forest,0.0813920244340318,0.0776710623353789,-0.0037209620986529,0.0015108246306445,0.0015138814513603,0.0016242795254091,True,True
44,1,extra_trees,0.1152125802777594,0.1067984907016422,-0.0084140895761172,0.0014827516639131,0.0014897852656471,0.0016242795254091,True,True
44,2,random_forest,0.1142642042100262,0.11819215608684,0.0039279518768138,0.0012026769426149,0.0012000072378122,0.0013365910123929,True,True
44,2,extra_trees,0.2240371551146155,0.2005003444304581,-0.0235368106841573,0.001125686220572,0.0011426310649712,0.0013365910123929,True,True
45,1,random_forest,0.0813920244340318,0.0780619038952703,-0.0033301205387614,0.0015108246306445,0.0015135606599053,0.0016242795254091,True,True
45,1,extra_trees,0.1152125802777594,0.1109397450751858,-0.0042728352025735,0.0014827516639131,0.0014863276205947,0.0016242795254091,True,True
45,2,random_forest,0.1142642042100262,0.1110685539958283,-0.0031956502141978,0.0012026769426149,0.0012048445610462,0.0013365910123929,True,True
45,2,extra_trees,0.2240371551146155,0.2126485780890593,-0.0113885770255561,0.001125686220572,0.0011339168128361,0.0013365910123929,True,True
46,1,random_forest,0.0813920244340318,0.0818561194734689,0.0004640950394371,0.0015108246306445,0.0015104429363758,0.0016242795254091,True,True
46,1,extra_trees,0.1152125802777594,0.1163458808774633,0.0011333005997038,0.0014827516639131,0.001481801751113,0.0016242795254091,True,True
46,2,random_forest,0.1142642042100262,0.1089728144486507,-0.0052913897613755,0.0012026769426149,0.0012062639921524,0.0013365910123929,True,True
46,2,extra_trees,0.2240371551146155,0.1995747347482249,-0.0244624203663905,0.001125686220572,0.0011432923063066,0.0013365910123929,True,True
47,1,random_forest,0.0813920244340318,0.0817418058481457,0.0003497814141139,0.0015108246306445,0.001510536962398,0.0016242795254091,True,True
47,1,extra_trees,0.1152125802777594,0.1090905383830177,-0.0061220418947417,0.0014827516639131,0.0014878725660851,0.0016242795254091,True,True
47,2,random_forest,0.1142642042100262,0.1157869896968145,0.0015227854867883,0.0012026769426149,0.0012016426574261,0.0013365910123929,True,True
47,2,extra_trees,0.2240371551146155,0.2055358932271548,-0.0185012618874607,0.001125686220572,0.0011390270215262,0.0013365910123929,True,True
48,1,random_forest,0.0813920244340318,0.0749885456824922,-0.0064034787515395,0.0015108246306445,0.0015160813518219,0.0016242795254091,True,True
48,1,extra_trees,0.1152125802777594,0.1133982030838259,-0.0018143771939335,0.0014827516639131,0.0014842711775069,0.0016242795254091,True,True
48,2,random_forest,0.1142642042100262,0.1193611851792296,0.0050969809692034,0.0012026769426149,0.0011992115380267,0.0013365910123929,True,True
48,2,extra_trees,0.2240371551146155,0.219118405166405,-0.0049187499482105,0.001125686220572,0.0011292483899496,0.0013365910123929,True,True
49,1,random_forest,0.0813920244340318,0.0794601828162412,-0.0019318416177905,0.0015108246306445,0.0015124124358278,0.0016242795254091,True,True
49,1,extra_trees,0.1152125802777594,0.1113835612511933,-0.0038290190265661,0.0014827516639131,0.00148595658917,0.0016242795254091,True,True
49,2,random_forest,0.1142642042100262,0.1164402058686153,0.0021760016585891,0.0012026769426149,0.0012011987160743,0.0013365910123929,True,True
49,2,extra_trees,0.2240371551146155,0.2029465514410624,-0.021090603673553,0.001125686220572,0.0011408816874629,0.0013365910123929,True,True
50,1,random_forest,0.0813920244340318,0.0773692385745108,-0.0040227858595209,0.0015108246306445,0.001514129133071,0.0016242795254091,True,True
50,1,extra_trees,0.1152125802777594,0.112283295314168,-0.0029292849635914,0.0014827516639131,0.0014852041248358,0.0016242795254091,True,True
