split,estimator,r2_s,r2_sh,delta_r2,mae_s,mae_sh,delta_mae,n_train,n_test,train_groups,test_groups,group_overlap
12,random_forest,-0.06748213166549633,-0.11067755340271379,-0.043195421737217465,8.75021597359471,8.895519646664377,0.14530367306966774,505,196,18,6,0
12,hist_gb,-0.08100648591027881,-0.1467936906914522,-0.06578720478117339,8.883466163845796,9.01591789856719,0.1324517347213945,505,196,18,6,0
13,ridge,-0.01748375609389452,-0.02745773311920896,-0.00997397702531444,8.129065861833263,8.157394532230843,0.02832867039757936,514,187,18,6,0
13,random_forest,-0.05084403178150576,-0.14941099909934175,-0.09856696731783599,8.487307181811925,8.916284827170278,0.42897764535835314,514,187,18,6,0
13,hist_gb,-0.06795376992321156,-0.1920696794263952,-0.12411590950318363,8.60313216278375,9.217604115140054,0.614471952356304,514,187,18,6,0
14,ridge,-0.02876240918458306,-0.02703533384469714,0.0017270753398859195,8.88819784299966,8.884529058070777,-0.0036687849288821184,547,154,18,6,0
14,random_forest,-0.09934471489729857,-0.07087561538150666,0.028469099515791907,9.101834655787323,8.97606079665915,-0.12577385912817363,547,154,18,6,0
14,hist_gb,-0.10758453812562352,-0.11166012021420557,-0.004075582088582053,9.152398134756949,9.034174921327711,-0.11822321342923736,547,154,18,6,0
15,ridge,-0.008823787095806557,-0.014422388663086538,-0.005598601567279982,8.640586772024884,8.643293730439012,0.00270695841412838,545,156,18,6,0
15,random_forest,-0.0053028356638511465,-0.1222336564340345,-0.11693082077018335,8.777529675285857,9.34004896332447,0.5625192880386134,545,156,18,6,0
15,hist_gb,-0.010463536806971874,-0.1426617257973255,-0.13219818899035363,8.708756831400457,9.38158705259165,0.6728302211911927,545,156,18,6,0
16,ridge,-0.018375741313046312,-0.02105834232460313,-0.0026826010115568177,8.367386676028584,8.372363365300316,0.004976689271732226,577,124,18,6,0
16,random_forest,-0.015399995931791866,-0.09005003034828829,-0.07465003441649642,8.22287918676391,8.528875449900811,0.3059962631369011,577,124,18,6,0
16,hist_gb,-0.05821210192611348,-0.15070373583015062,-0.09249163390403714,8.40935127308207,8.72980053627844,0.32044926319636957,577,124,18,6,0
17,ridge,-0.00707722799392041,-0.007252747238320811,-0.00017551924440040167,8.323877956307895,8.31688338218408,-0.00699457412381399,473,228,18,6,0
17,random_forest,-0.05823225246069219,-0.15867656997995816,-0.10044431751926597,8.721699487208221,9.279029373730316,0.5573298865220941,473,228,18,6,0
17,hist_gb,-0.07234171211452955,-0.21703931980283686,-0.1446976076883073,8.780623015222158,9.6105443141052,0.8299212988830416,473,228,18,6,0
18,ridge,-0.005279483967975951,-0.007982737218305003,-0.002703253250329052,7.907977353836022,7.924987956513531,0.017010602677509645,449,252,18,6,0
18,random_forest,-0.07134958345042453,-0.09935227918112899,-0.028002695730704463,8.289851837117157,8.423061248792008,0.13320941167485145,449,252,18,6,0
18,hist_gb,-0.0919016879005572,-0.14028248801603316,-0.048380800115475964,8.38235440582525,8.547521508193606,0.16516710236835586,449,252,18,6,0
19,ridge,-0.03580108420843198,-0.032791197129550476,0.0030098870788815013,8.048938747031702,8.015623420470614,-0.03331532656108749,578,123,18,6,0
19,random_forest,-0.04602135575790367,-0.09914654176763849,-0.053125186009734815,7.847126576875571,8.083674830699652,0.23654825382408085,578,123,18,6,0
19,hist_gb,-0.038892242167090085,-0.10340793606881915,-0.06451569390172907,7.846303712928106,8.155741738572521,0.3094380256444156,578,123,18,6,0
20,ridge,-0.008739690355038965,-0.018161857916098256,-0.009422167561059291,7.905050426466683,7.918382654877683,0.01333222841099957,578,123,18,6,0
20,random_forest,-0.1814889364504928,-0.12508686240716282,0.056402074043329975,8.379462329328717,8.04913627566948,-0.3303260536592365,578,123,18,6,0
20,hist_gb,-0.16787280418546313,-0.18710190742266963,-0.019229103237206502,8.337923293390258,8.237154603104822,-0.10076869028543634,578,123,18,6,0
21,ridge,-0.014446961929065694,-0.01870833000981298,-0.004261368080747285,8.220320603254892,8.245805396334836,0.025484793079943557,513,188,18,6,0
21,random_forest,0.014577358548812258,-0.04380145193149776,-0.05837881048031002,8.093692319887234,8.431242942180031,0.3375506222927971,513,188,18,6,0
21,hist_gb,0.0071724376362466424,-0.022824443242295933,-0.029996880878542576,8.17524958768563,8.308509618291765,0.13326003060613445,513,188,18,6,0
