sim,split,outcome,estimator,delta_r2,noise_sd
36,36,complete,random_forest,-0.0004992751020885,5.839864623879145
36,36,complete,hist_gb,-0.0245112413067181,5.839864623879145
36,36,incomplete,ridge,0.0125597093711847,5.839864623879145
36,36,incomplete,random_forest,0.0016695287016187,5.839864623879145
36,36,incomplete,hist_gb,-0.0225886811973997,5.839864623879145
37,37,complete,ridge,0.0119498899290013,5.839864623879145
37,37,complete,random_forest,0.0170403722011823,5.839864623879145
37,37,complete,hist_gb,0.0032277877839317,5.839864623879145
37,37,incomplete,ridge,0.031247154528939,5.839864623879145
37,37,incomplete,random_forest,0.0230872627817195,5.839864623879145
37,37,incomplete,hist_gb,0.0133111539841789,5.839864623879145
38,38,complete,ridge,-0.011668008589759,5.839864623879145
38,38,complete,random_forest,-0.0163560965542848,5.839864623879145
38,38,complete,hist_gb,-0.0412876102061708,5.839864623879145
38,38,incomplete,ridge,0.0008931018660901,5.839864623879145
38,38,incomplete,random_forest,-0.007008127970811,5.839864623879145
38,38,incomplete,hist_gb,-0.0316847242474289,5.839864623879145
39,39,complete,ridge,0.000814081635753,5.839864623879145
39,39,complete,random_forest,0.0217228898241774,5.839864623879145
39,39,complete,hist_gb,-0.0095332886815955,5.839864623879145
39,39,incomplete,ridge,0.0170944797292187,5.839864623879145
39,39,incomplete,random_forest,0.0398911671478281,5.839864623879145
39,39,incomplete,hist_gb,-0.0109559197324868,5.839864623879145
40,40,complete,ridge,0.0198677816071455,5.839864623879145
40,40,complete,random_forest,0.0360578426710676,5.839864623879145
40,40,complete,hist_gb,0.0343604412828926,5.839864623879145
40,40,incomplete,ridge,0.0325335845599629,5.839864623879145
40,40,incomplete,random_forest,0.0603213690731218,5.839864623879145
40,40,incomplete,hist_gb,0.0723618711311739,5.839864623879145
41,41,complete,ridge,0.0167178937397638,5.839864623879145
41,41,complete,random_forest,0.0500776058766663,5.839864623879145
41,41,complete,hist_gb,0.0002997577558923,5.839864623879145
41,41,incomplete,ridge,0.0371631871484076,5.839864623879145
41,41,incomplete,random_forest,0.0607099061674812,5.839864623879145
41,41,incomplete,hist_gb,0.0122885723892034,5.839864623879145
42,42,complete,ridge,-0.0069998753784696,5.839864623879145
42,42,complete,random_forest,0.0166286670812867,5.839864623879145
42,42,complete,hist_gb,-0.014838703531869,5.839864623879145
42,42,incomplete,ridge,0.0055885603966943,5.839864623879145
42,42,incomplete,random_forest,0.0194084193297005,5.839864623879145
42,42,incomplete,hist_gb,-0.0002099167845663,5.839864623879145
43,43,complete,ridge,0.0063292305594121,5.839864623879145
43,43,complete,random_forest,0.0338566021485129,5.839864623879145
43,43,complete,hist_gb,-0.00470366303267,5.839864623879145
43,43,incomplete,ridge,0.0379787268613899,5.839864623879145
43,43,incomplete,random_forest,0.0506408579165816,5.839864623879145
43,43,incomplete,hist_gb,0.032636732930574,5.839864623879145
44,44,complete,ridge,-0.0092767109422798,5.839864623879145
44,44,complete,random_forest,-0.0278014630772422,5.839864623879145
44,44,complete,hist_gb,-0.0405953173432276,5.839864623879145
44,44,incomplete,ridge,0.0092649703728936,5.839864623879145
44,44,incomplete,random_forest,-0.0002145135276669,5.839864623879145
44,44,incomplete,hist_gb,0.0013970020174095,5.839864623879145
45,45,complete,ridge,0.0004002321193088,5.839864623879145
45,45,complete,random_forest,0.014379022311676,5.839864623879145
45,45,complete,hist_gb,-0.0293929008743046,5.839864623879145
45,45,incomplete,ridge,0.0225267475380803,5.839864623879145
45,45,incomplete,random_forest,0.0273474529019752,5.839864623879145
45,45,incomplete,hist_gb,-0.0125652888730067,5.839864623879145
46,46,complete,ridge,0.0084499430336282,5.839864623879145
46,46,complete,random_forest,0.0117938816171299,5.839864623879145
46,46,complete,hist_gb,-0.0473039595023049,5.839864623879145
